Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,22,28,WALD,1.054,2.0,2.0,200.0,448,1,population,ca_detail_1762512974066-pop1
1600,5,28,OZEAN,1.454,2.0,2.0,125.39,103,1,steps,ca_detail_1762512804294
2000,1,47,TUNDRA,1.257,1.397,2.0,64.53,8,1,population,ca_detail_1762513249309-pop1250
2000,42,40,WÜSTE,0.929,2.0,1.033,31.8,11,1,steps,ca_detail_1762512849242
2000,30,2,OZEAN,1.788,2.0,0.5,195.04,9,1,same,ca_detail_1762512370832
2000,26,45,WÜSTE,1.753,2.0,1.385,196.83,503,1,seed,ca_detail_1762512483895
2000,28,23,TUNDRA,1.966,1.032,2.0,34.37,9,1,seed,ca_detail_1762512483895
2000,34,22,GEBIRGE,0.973,2.0,0.95,200.0,203,1,same,ca_detail_1762512398038
2000,33,18,GEBIRGE,1.454,2.0,0.575,200.0,340,1,seed,ca_detail_1762512483895
2000,1,35,GRASLAND,0.5,1.628,0.996,200.0,472,1,same,ca_detail_1762512310071
2000,31,13,TUNDRA,1.009,1.851,2.0,100.0,0,1,population,ca_detail_1762513249309-pop1250
400,25,14,TUNDRA,0.616,2.0,1.109,74.28,38,1,steps,ca_detail_1762512748570
1200,10,28,OZEAN,0.522,1.936,1.119,100.4,41,1,steps,ca_detail_1762512788880
2000,46,21,SUMPF,2.0,2.0,0.768,200.0,301,1,seed,ca_detail_1762512624538
2000,20,26,WÜSTE,0.645,2.0,1.232,13.2,14,1,population,ca_detail_1762513304195-pop2500
2000,46,0,GRASLAND,0.876,1.913,0.555,200.0,124,1,population,ca_detail_1762512974066-pop1
2000,27,22,OZEAN,1.57,1.649,2.0,200.0,217,1,seed,ca_detail_1762512483895
2000,0,28,WALD,0.728,2.0,0.957,150.0,35,1,same,ca_detail_1762512370832
2000,30,35,GRASLAND,2.0,1.321,2.0,100.0,0,1,seed,ca_detail_1762512598970
2000,26,35,WALD,0.989,2.0,2.0,142.92,80,1,steps,ca_detail_1762512849242
2000,37,30,GRASLAND,0.506,2.0,1.873,116.2,1,1,seed,ca_detail_1762512598970
2000,28,43,GRASLAND,1.308,1.68,2.0,175.88,75,1,seed,ca_detail_1762512570763
2000,49,27,GRASLAND,0.945,0.946,0.874,200.0,1892,1,population,ca_detail_1762513304195-pop2500
2000,16,1,VULKAN,1.79,2.0,1.456,34.39,8,1,population,ca_detail_1762513065927-pop50
2000,4,9,GRASLAND,0.573,2.0,1.067,200.0,263,1,population,ca_detail_1762513249309-pop1250
2000,34,43,TUNDRA,2.0,1.56,2.0,66.65,187,1,same,ca_detail_1762512398038
2000,17,4,GRASLAND,0.5,1.645,1.379,187.72,76,1,same,ca_detail_1762512270723
